1230 Staffanstorp;24724
1231 Burlöv;18360
1233 Vellinge;36499
1256 Östra Göinge;14915
1257 Örkelljunga;10174
1260 Bjuv;15501
1261 Kävlinge;31491
1262 Lomma;24763
1263 Svedala;21576
1264 Skurup;15759
1265 Sjöbo;19153
1266 Hörby;15635
1267 Höör;16637
1270 Tomelilla;13557
1272 Bromölla;12876
1273 Osby;13267
1275 Perstorp;7479
1276 Klippan;17600
1277 Åstorp;15987
1278 Båstad;14948
1280 Malmö;339313
1281 Lund;122948
1282 Landskrona;45775
1283 Helsingborg;145415
1284 Höganäs;26566
1285 Eslöv;33557
1286 Ystad;30226
1287 Trelleborg;44902
1290 Kristianstad;84908
1291 Simrishamn;19278
1292 Ängelholm;42131
1293 Hässleholm;52121
1315 Hylte;10914
1380 Halmstad;101268
1381 Laholm;25491
1382 Falkenberg;44701
1383 Varberg;63630
1384 Kungsbacka;83348
1401 Härryda;37802
1402 Partille;38443
1407 Öckerö;12945
1415 Stenungsund;26503
1419 Tjörn;15922
1421 Orust;15110
1427 Sotenäs;9030
1430 Munkedal;10503
1435 Tanum;12873
1438 Dals-Ed;4806
1439 Färgelanda;6602
1440 Ale;30926
1441 Lerum;42137
1442 Vårgårda;11658
1443 Bollebygd;9427
1444 Grästorp;5731
1445 Essunga;5671
1446 Karlsborg;6941
1447 Gullspång;5293
1452 Tranemo;11874
1460 Bengtsfors;9846
1461 Mellerud;9354
1462 Lilla Edet;14046
1463 Mark;34781
1465 Svenljunga;10683
1466 Herrljunga;9494
1470 Vara;15952
1471 Götene;13232
1472 Tibro;11168
1473 Töreboda;9312
1480 Göteborg;571868
1481 Mölndal;68152
1482 Kungälv;45086
1484 Lysekil;14611
1485 Uddevalla;56259
1486 Strömstad;13253
1487 Vänersborg;39411
1488 Trollhättan;58728
1489 Alingsås;41070
1490 Borås;112178
1491 Ulricehamn;24445
1492 Åmål;12720
1493 Mariestad;24372
1494 Lidköping;39879
1495 Skara;18829
1496 Skövde;55729
1497 Hjo;9176
1498 Tidaholm;12828
1499 Falköping;33155
1715 Kil;11962
1730 Eda;8575
1737 Torsby;11719
1760 Storfors;4055
1761 Hammarö;16483
1762 Munkfors;3789
1763 Forshaga;11518
1764 Grums;9016
1765 Årjäng;10011
1766 Sunne;13261
1780 Karlstad;92497
1781 Kristinehamn;24336
1782 Filipstad;10837
1783 Hagfors;11698
1784 Arvika;26082
1785 Säffle;15643
1814 Lekeberg;8116
1860 Laxå;5637
1861 Hallsberg;15954
1862 Degerfors;9665
1863 Hällefors;6983
1864 Ljusnarsberg;4846
1880 Örebro;153367
1881 Kumla;21640
1882 Askersund;11313
1883 Karlskoga;30419
1884 Nora;10737
1885 Lindesberg;23575
1904 Skinnskatteberg;4429
1907 Surahammar;10088
1960 Kungsör;8667
1961 Hallstahammar;16186
1962 Norberg;5795
1980 Västerås;152078
1981 Sala;22816
1982 Fagersta;13464
1983 Köping;26268
1984 Arboga;14138
2021 Vansbro;6807
2023 Malung-Sälen;10106
2026 Gagnef;10271
2029 Leksand;15804
2031 Rättvik;10907
2034 Orsa;6892
2039 Älvdalen;7121
2061 Smedjebacken;10897
2062 Mora;20390
2080 Falun;58923
2081 Borlänge;52224
2082 Säter;11123
2083 Hedemora;15457
2084 Avesta;23323
2085 Ludvika;26946
2101 Ockelbo;5906
2104 Hofors;9602
2121 Ovanåker;11684
2132 Nordanstig;9517
2161 Ljusdal;19033
2180 Gävle;101455
2181 Sandviken;39208
2182 Söderhamn;25721
2183 Bollnäs;26991
2184 Hudiksvall;37430
2260 Ånge;9411
2262 Timrå;18060
2280 Härnösand;25120
2281 Sundsvall;98850
2282 Kramfors;18423
2283 Sollefteå;19500
2284 Örnsköldsvik;56089
2303 Ragunda;5343
2305 Bräcke;6376
2309 Krokom;14858
2313 Strömsund;11703
2321 Åre;11529
2326 Berg;7097
2361 Härjedalen;10147
2380 Östersund;63227
2401 Nordmaling;7118
2403 Bjurholm;2450
2404 Vindeln;5436
2409 Robertsfors;6762
2417 Norsjö;4094
2418 Malå;3122
2421 Storuman;5912
2422 Sorsele;2522
2425 Dorotea;2568
2460 Vännäs;8785
2462 Vilhelmina;6752
2463 Åsele;2819
2480 Umeå;127119
2481 Lycksele;12228
2482 Skellefteå;72467
2505 Arvidsjaur;6334
2506 Arjeplog;2794
2510 Jokkmokk;5001
2513 Överkalix;3302
2514 Kalix;16058
2518 Övertorneå;4410
2521 Pajala;6039
2523 Gällivare;17630
2560 Älvsbyn;8140
2580 Luleå;77832
2581 Piteå;42116
2582 Boden;28064
2583 Haparanda;9785
2584 Kiruna;22992
;
Fr o m 2007-01-01 överförs Heby kommun från Västmanlands län till Uppsala län. Hebys kommunkod ändras från 1917 till 0331. ;
Uppgifterna avser förhållandena den 31 december för valt/valda år enligt den regionala indelning som gäller den 1 januari året efter.;
Registrerat partnerskap reglerade parförhållanden mellan personer av samma kön och fanns från 1995 till 2009. Registrerade partners räknas som Gifta, Separerade partners som Skilda och Efterlevande partners som Änka/änklingar.;
År 1968-1998 redovisas enligt regional indelning 1998-01-01.;
region:;
Nykvarn:;
Ny regional indelning fr.o.m. 1999-01-01. Delar av Södertälje kommun (kod 0181) bildar en ny kommun benämnd Nykvarn (kod 0140).;
;
region:;
Södertälje:;
Ny regional indelning fr.o.m. 1999-01-01. Delar av Södertälje kommun (kod 0181) bildar en ny kommun benämnd Nykvarn (kod 0140).;
;
region:;
Lidingö:;
Från och med 2011-01-01 tillhör Storholmen Lidingö (0186) som tidigare tillhörde Vaxholm (0187).;
;
region:;
Vaxholm:;
Från och med 2011-01-01 tillhör Storholmen Lidingö (0186) som tidigare tillhörde Vaxholm (0187).;
;
region:;
Knivsta:;
Ny regional indelning fr.o.m. 2003-01-01. Delar av Uppsala kommun bildar en ny kommun benämnd Knivsta kommun.;
;
region:;
Uppsala:;
Ny regional indelning fr.o.m. 2003-01-01. Delar av Uppsala kommun bildar en ny kommun benämnd Knivsta kommun.;
;
;
Senaste uppdatering:;
20210222 09:30;
;
Källa:;
SCB;
;
Kontaktperson:;
Tomas Johansson, SCB;
 +46 010-479 64 26;
tomas.johansson@scb.se;
;
(SCB) Statistikservice, SCB;
 +46 010-479 50 00;
information@scb.se;
;
;
;
;
Sort:;
antal;
;
Datatyp:;
Stock;
;
Referenstid:;
31 december respektive år;
;
;
;
;
;
Officiell statistik;
;
Databas:;
Statistikdatabasen ;
;
Intern referenskod:;
BE0101N1;
